task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/47222f	16969113	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_cluster.csv)	COMPLETED	0	2022-10-28 14:31:29.445	33.6s	1s	16.8%	6.6 MB	15.1 MB	812.5 KB	974 B
4	69/839087	16969114	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:SET_CHR (HCC1187_2)	COMPLETED	0	2022-10-28 14:32:03.479	34.6s	193ms	44.6%	6.1 MB	33.8 MB	310.4 KB	16 KB
2	c7/a482aa	16969115	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:GREP_SAMPLENAME (HCC1187)	COMPLETED	0	2022-10-28 14:32:03.649	34.5s	196ms	66.4%	8.8 MB	49.2 MB	565.3 KB	23.4 KB
3	e8/e453d8	16969116	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:SET_CHR (HCC1187)	COMPLETED	0	2022-10-28 14:32:03.765	34.4s	191ms	45.2%	2.2 MB	10.7 MB	310.4 KB	16 KB
5	0d/26f70e	16969117	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:GREP_SAMPLENAME (HCC1187_2)	COMPLETED	0	2022-10-28 14:32:03.893	34.3s	161ms	67.6%	7.1 MB	38.4 MB	391.9 KB	14.9 KB
7	3f/1b196b	16969119	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_CALLING:PLATYPUS (HCC1187_2)	COMPLETED	0	2022-10-28 14:32:04.231	2h 24m 35s	2h 24m 6s	475.0%	14.6 GB	15.9 GB	307.3 GB	2.7 GB
8	06/d7a5c0	16970485	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_CALLING:CHECK_IF_CORRUPTED (HCC1187_2)	COMPLETED	0	2022-10-28 16:56:41.378	17.4s	7.8s	0.9%	6 MB	42.1 MB	563.7 KB	1.2 KB
9	6a/ad7218	16970486	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:RUNTINDA:SAMPLE_SWAP (HCC1187_2)	COMPLETED	0	2022-10-28 16:56:42.996	15.9s	8s	2.7%	6.7 MB	79.3 MB	413.5 KB	3.5 KB
10	b6/d503ca	16970487	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_ANNOTATION:ANNOTATE_VCF (HCC1187_2)	COMPLETED	0	2022-10-28 16:56:44.575	10m 39s	10m 15s	246.9%	193.1 MB	410.8 MB	126.3 GB	115.6 GB
11	73/9cffec	16970760	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_ANNOTATION:ANNOVAR (HCC1187_2)	COMPLETED	0	2022-10-28 17:07:24.382	4m 50s	4m 23s	114.5%	4.8 GB	4.8 GB	14.5 GB	10.7 GB
12	c9/d2db71	16970888	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_ANNOTATION:INDEL_RELIABILITY_PIPE (HCC1187_2)	COMPLETED	0	2022-10-28 17:12:16.730	3m 7s	2m 57s	253.4%	134.1 MB	279.5 MB	28.4 GB	27 GB
13	78/47f549	16970924	NF_PLATYPUSINDELCALLING:PLATYPUSINDELCALLING:INDEL_ANNOTATION:CONFIDENCE_ANNOTATION (HCC1187_2)	COMPLETED	0	2022-10-28 17:15:24.924	1m 19s	1m 12s	100.5%	23.5 MB	41.1 MB	3.6 GB	3.3 GB
